date,text
2018-04-20 08:26:04,Imagine being so small that you have to take your library books back in 2 halves because you cant carry them all i 
2018-04-20 08:26:04,@Ticketmaster trying to change address on line wont submit and phone line not recognising request
2018-04-20 08:26:05,#ff @vanessariddle  a beautiful and strong young lady diagnosed with stage 4 neuroblastoma go to   to learn more
2018-04-20 08:26:05,@10DowningStreet @theresa_may Not in my name you dont
2018-04-20 08:26:05,Anyone care to join me for a spot of yoga this morning #friyay #fridayfeeling 
2018-04-20 08:26:05,@withorpe @solange_lebourg HMRC concluded that a legal challenge to a search warrant would succeed due to limited n 
2018-04-20 08:26:06,@Tim1989Callcott Not for me  not unless we can figure out better transitions and service
2018-04-20 08:26:07,@AnnekaHendrick @AllenOvery @Erf_S @BirkbeckNews @BBKOutreach And theres our fabulous @Erf_S
2018-04-20 08:26:06,1162 watts 41% Battery = 082kWh 
2018-04-20 08:26:08,Corny in Cornwall  @ Newquay Cornwall 
2018-04-20 08:26:08,Justin Trudeau arrives at the Commonwealth Summit  Justin Powers International Man Of Ridicule  
2018-04-20 08:26:08,I deffo tweeted this at like 4am this morning and now 924am 
2018-04-20 08:26:09,@Lynette84649831 @Emy_Lizzy @Artudacamelot5 @Babesy_Bieber @Osterkatze666 @jijmpel @LeeWolfX @poemprose 
2018-04-20 08:26:09,420 is today cant wait to smoke the ting
2018-04-20 08:26:09,@JacksonLucitt Yeh I bet mate  The baby is great What a life changer  x
2018-04-20 08:26:09,Talking #values to international teachers at  at Cambridge University #vbezone @vbezone 
2018-04-20 08:26:10,Looking forward to an interesting day here at #NAEPUK2018
2018-04-20 08:26:10,What a powerful emotional &amp inspirational session from Yusef Azad of @NAT_AIDS_Trust &amp @finnertf of @BSUH_NHS on m 
2018-04-20 08:26:10,@Mr_iKeepitreal I been telling them 
2018-04-20 08:26:10,@jamesb Indeed - I spent a very tough hour with a very nice project manager trying to help him understand why the t 
2018-04-20 08:26:11,@mbna MBNA have refused to refund me this interest despite me having written confirmation you closed my account on 
2018-04-20 08:26:12,I listened back to this and @goosefat101 you are a master of interviewing - I kept thinking who is this person tha 
2018-04-20 08:26:12,@DrGrumble @doctorcaldwell @somersetwyvern @rakeshspatel @nlafferty @GrumpyOldDoc Some of us younger I really he 
2018-04-20 08:26:12,@EwaSR Someone needs to make Park Valkyrie an official job
2018-04-20 08:26:13,Canterbury HeadStart are just about to start a Parent Toolkit Consultation with the lovely parents at Hampton Prima 
2018-04-20 08:26:13,I was just there for mural support  
2018-04-20 08:26:14,I love that when someone sayswith respectat the start of the sentencethats maybe not whats meantbut some peop 
2018-04-20 08:26:15,@royfis @williamcrawley ^ what he said 
2018-04-20 08:26:15,@maxlimitreached Yeah There have been times when Leicester have deserved more This was not one of them
2018-04-20 08:26:15,Time to start the @RadioX @ChrisMoyles podcast from the beginning for the 5th time   MON THE SMITHS #WOOKIE
2018-04-20 08:26:16,Best place to work 2018 
2018-04-20 08:26:16,@rushy6 Loosing Allen will be a massive blow but I tend to agree with the rest
2018-04-20 08:26:16,@CLINT419 @CandaceTheAngel this tweet made me feel sick
2018-04-20 08:26:15,Bringing it right back with these bad boys  #GameStruck4 
2018-04-20 08:26:16,QUEEN @ArianaGrande  #NoTearsLeftToCry 
2018-04-20 08:26:16,Shaggy &amp Sting have made an album
2018-04-20 08:26:17,@stuart73g @UKRunChat @racecheck @redsquirrelrun @goeventswales @Whiffenpuff @firsthurdle @SuperBlue623 
2018-04-20 08:26:17,@FrankHarveyHiFi @bbcmusic @recordstoreday So excited its like Christmas Eve
2018-04-20 08:26:17,@loosewomen hi guys Ive flown from Belfast today for the show but havent got a chance to drop my hand luggage at 
2018-04-20 08:26:17,AHEM can we all pay attention to this pls &amp thx  
2018-04-20 08:26:17,@manueky Finally A meme to match my modern day go-getting woke attitude
2018-04-20 08:26:18,48 hours to go  #southampton #abp10k #southampton10k 
2018-04-20 08:26:18,@simonrug @robindavey01 @USK_RFC_chat How can you be better placed than the Scarlets Robin They are Pro 12 Champs 
2018-04-20 08:26:18,Day 3 Braid Out  Hair accessories by @NeiceysJewels  
2018-04-20 08:26:19,@WMCOpinion @ichoosemag @hannah_spare My whole lifes been a lie 
2018-04-20 08:26:19,@bluejeanbaby01 And a 130pm finish always helps 
2018-04-20 08:26:19,Chip off the old block eh 
2018-04-20 08:26:20,@norcrosscricket @theanalyst @RafNicholson There is a Womens County T20 competition More emphasis on that Same w 
2018-04-20 08:26:20,@stephencrowther @SurreyRoadCops @LBC @NickFerrariLBC #Inclusive practices applied here in accommodating different 
2018-04-20 08:26:20,Another cracker of a day  After a busy working week remember to take time for yourself this weekend 
2018-04-20 08:26:21,Show day no 2 Link here we gooo  
2018-04-20 08:26:22,I am 100% okay with this as long as it ends with Farage being chained to a rock for all eternity while snake venom 
2018-04-20 08:26:22,Cringeworthy skincrawling  forelock-tugging garbage Imagine paying someone to write this Meghan Markle makes t 
2018-04-20 08:26:22,@dave__stew @simonscarspots @AutoPap @AndyatAston @gingerknit @NottsPics @classicsdriven @shaunesden 
2018-04-20 08:26:23,@BBCNews happy to promote fake #antiSemitism charge against #Corbyn but silent about real #Tory racism responsible for #WindrushScandal
2018-04-20 08:26:24,@Railraptor Whimbrel
2018-04-20 08:26:24,Good luck to this worldie today @emcooperkeeble love you 
2018-04-20 08:26:24,A few thoughts 1 clear red water was not radical it was resistance to reform 2 It is 1 thing to have a hard 
2018-04-20 08:26:24,Dublin City Council plans to spend 15m on a whitewater kayak course having being convinced by this man 
2018-04-20 08:26:25,Got 7 different kinds of gin and bottles of fevertree tonic for my bday and I think today is the day to crack them 
2018-04-20 08:26:24,Its 420 so Im gonna repost some weed related pieces Ive written cos well its all about that timely content 
2018-04-20 08:26:25,@PolhomeEditor @HackneyAbbott There was no point in Tory or LibDems rebelling and risking their posts if Labour w 
2018-04-20 08:26:25,Somerset vs Worcs at County Cricket Ground later this afternoon More details at 
2018-04-20 08:26:26,@iSpongeDaily U already know Im there
2018-04-20 08:26:26,why have i been steaming for the last 2 days and still craving a pint 
2018-04-20 08:26:26,The same strengths a weaknesses were evident in players before Evans arrived We are no different We needed major 
2018-04-20 08:26:26,Morning @AdamMeakins  
2018-04-20 08:26:26,Happy Release Day @aperfectcircle - this is a truly beautiful album Enjoy  #APC  #APerfectCircle 
2018-04-20 08:26:27,@ovh_support_en How do I get someone to take my support request seriously Nobody seems to be interested in helping
2018-04-20 08:26:27,@AskPaddyPower MANY THANKS
2018-04-20 08:26:27,Fish cakes anyone The perfect light bite for a sunny day in our beautiful beer garden #canterbury #canterburykent 
2018-04-20 08:26:27,Were really looking forward to hearing from your team  
2018-04-20 08:26:27,@TheBetterStuart TBH my timeline is conspicuously light on praise when it was flooded with anticipation tweets befo 
2018-04-20 08:26:27,@Hayley_Bach Have a fab time x
2018-04-20 08:26:27,@Station19 its usually easy to know what ship is end gameor at least the preferred one in a tv show but in this 
2018-04-20 08:26:27,#ff please also support @tantnuh @CR_UK @macmillancancer @LaylaGrace @FightLikeAGirl @SU2C   @abolishcancer @HopeForLaura
2018-04-20 08:26:28,Queen wasp enters bathroom window  Gym shower becomes new bathroom
2018-04-20 08:26:28,@RoxaneRomero @MertonBinBot Ref SRQ-186638-F6K2Y0 I am back canvassing pass here tonight so will update the situation
2018-04-20 08:26:28,Easing into the weekend with some laid back brain food  
2018-04-20 08:26:29,@hmiddlers @sventhiele @SigmaSport Yes lovely kit Had to go to a larger jersey as my physique was not so pro and skinny 
2018-04-20 08:26:29,@mozza_Leeds All that overtime available for you
2018-04-20 08:26:30,930 sat in the booming sunshine before I sit in a dark room all day #researchgroups
2018-04-20 08:26:30,Stuck at your desk when you should be out riding your bike feels like this #bottomlip 
2018-04-20 08:26:32,Just boarding the plane to Las Vegas 
2018-04-20 08:26:31,Loving the sunset on Wednesday evening 
2018-04-20 08:26:32,Great Friday read International cyber tensions are rising  
2018-04-20 08:26:32,@FoodRecycleDean @NWAmb_Karen @WarpIt_ @jk_env @FoodWaste2020 Local authorities implement collection systems for th 
2018-04-20 08:26:32,Weve been cut and cut Tory minister savaged over austerity on Question Time 
