date,text
2018-04-23 14:29:16,We lose ourselves in books we find ourselves there too  en Trinity httpstcoP0NiAivyFu
2018-04-23 14:29:16,@qwesi_le Awwww youre cute Lol
2018-04-23 14:29:17,@Oli_Coulson The Dutch say the same about us
2018-04-23 14:29:17,Forget the royal baby its my birthday
2018-04-23 14:29:17,@beewestwood @HayleyMcQueen Its criminal Peter is not gonna do anymore care share its absolutely fantastic viewi httpstcoIFnzs1WmWa
2018-04-23 14:29:18,@stevenkidd @sellyparkgirls Tuuuuuuune love the video Well done all 
2018-04-23 14:29:18,@themiceblog Hey how are you Who is going to be online with you this evening
2018-04-23 14:29:18,@__laurarogers Thanks Laura 
2018-04-23 14:29:19,@lindadonald11 Thanks lovely lady Looking forward to catching up xx
2018-04-23 14:29:20,Trophy judging at its best @WineChallenge  If my teeth look like this then I spare you from httpstcopU7q7eAddY
2018-04-23 14:29:20,Apple Pay is TOO handy
2018-04-23 14:29:21,@OFOCBrexit are hosting an event aimed at young people in Manchester this Friday GM Mayor Andy Burnham will be sp httpstcoiJqc7tfjxD
2018-04-23 14:29:21,Sometimes its better to make someone hate you so you dont end up hurting them down the line
2018-04-23 14:29:22,@LozzaFox Thoes guns are blazing 
2018-04-23 14:29:22,@Wello1991 Im in agony
2018-04-23 14:29:22,Still annoys me a hadty sell my chance tickets
2018-04-23 14:29:23,The sense of achievement and job satisfaction when youve helped a family take a massive step in the right direction
2018-04-23 14:29:23,@OutrageousUK @barrie_waller @aka_willbodie @dipu412 @RidgeOnSunday @SkyNews Hes not someone I want my country to ally themselves with
2018-04-23 14:29:23,@seumasabheinn @TS_3502 @LabourOutOfScot @YESisYesterday @Tonester_7 @lesross12 @bpth67 @clr1501399bri httpstco49DOT4llRf
2018-04-23 14:29:24,CORK     See you Thursday night at 8pm for an old school R&ampB party with myself and @tarastewartdj  for @Nialler9 httpstcoao1jpnz1ea
2018-04-23 14:29:24,so buzzing to get my i phone on thurs
2018-04-23 14:29:24,shittest mood 
2018-04-23 14:29:24,@virginmedia Okay thank you
2018-04-23 14:29:25,@alexyermaduff Fifteen days camped oot side a hospital to get a glimpse of a baby absolute paedo material
