date,text
2018-04-20 11:12:00,Wine thief jailed after taking weapon into police station  
2018-04-20 11:12:01,#rolleigns is real  and judging by that question he was asked in the radio station roman really is that guy Bet 
2018-04-20 11:12:01,@talktoBOI Thank you
2018-04-20 11:12:01,@Born_a_gooner NEVER EVER
2018-04-20 11:12:02,@Grimmers8 In the time Arsene has been at Arsenal Spurs have had over 10 different managers
2018-04-20 11:12:03,@SeabrookCrisps Yes please x
2018-04-20 11:12:03,YESSSS just as I was about to shed an actual tear reading all the Wenger tributes this has made me smile 
2018-04-20 11:12:03,@5WrightStuff HI mathewcan i ask you a genuine question please can you tell me where i can buy the shirt that you 
2018-04-20 11:12:05,Liam is doing so well for him self as a solo artist and I couldnt be more proud 
2018-04-20 11:12:05,@MZAMOJO Have a ball and be careful with they dodgy east coasters
2018-04-20 11:12:05,Cant fault how Ive been looked after for my routine op at QEQM hospital Margate Very caring and hard working #nhs70
2018-04-20 11:12:05,@Charlotte_WCT @SunriseSrUK Thanks @Charlotte_WCT it was lovely meeting you this morning and what an amazing job yo 
2018-04-20 11:12:04,Feeling nostalgic and would love your home to reflect the greatness of the 90s  We have just the book for you As 
2018-04-20 11:12:06,I have friends who support @Arsenal and Im pleased for them more than anything that Arsene has made the announceme 
2018-04-20 11:12:06,Dont  
2018-04-20 11:12:06,@alexnunns I asked him some pertinent questions yesterday about #Windrush all expressed very cogently and politely 
2018-04-20 11:12:06,Very well done Great idea 
2018-04-20 11:12:06, @KainosSoftware - Opportunities for All #KickOff18 #ReturnToWork #Relocation #NewCareers  
2018-04-20 11:12:06,Lunching with the dolphin today   
2018-04-20 11:12:06,Get the most experienced independent fitting in the UK for your Gen2s By Gene1 @golfaddictionuk #onlyonepxg 
2018-04-20 11:12:07,Cats are nice 
2018-04-20 11:12:07,2754 watts 83% Battery = 166kWh 
2018-04-20 11:12:07,#MiddayMastermind  @MastermindQuiz   White Lightening
2018-04-20 11:12:07,London is nice 
2018-04-20 11:12:08,@Dezza_10 A bit 
2018-04-20 11:12:08,@Pauline_Latham As my voice in parliament please take note of the attached tweet when considering your position on 
2018-04-20 11:12:09,Out of the office again today with another client taking photos for their new holiday home 
2018-04-20 11:12:09,Squad Goals  Are you Rebel Wanna be part of the team Were RECRUITING Ride trainers and auditions are held ne 
2018-04-20 11:12:09,@itsmeeshashafi I think in Show Business Sexual Harassment is very common &amp mostly Womens uses their Beauty as a S 
2018-04-20 11:12:10,Its Funmi the hottest babe Every other one is a counterfeit 
2018-04-20 11:12:11,Hats off @TheRFL - Ladbrokes Challenge Cup sixth round draw will take place live on the flagship Chris Evans Breakf 
2018-04-20 11:12:11,@tobywaterss Cant wait babe 
2018-04-20 11:12:12,I fell back asleep and just snorted myself awake what even am I
2018-04-20 11:12:11,Our campaign for @ChivasRegal won the @DesignInGermany award 2018  Nice    
2018-04-20 11:12:12,@STEVEYBOYLE Okay then Ill say no more 
2018-04-20 11:12:12,The message might had been stronger if it came from a Female minister or Prime minster rather than Boris 
2018-04-20 11:12:12,So far on my Petition to bring back @nataliesawyer 262 have signed it  
2018-04-20 11:12:13,10 kegs from a quarter brick
2018-04-20 11:12:13,They did @TiffanyHaddish dirty with that hair and makeup  
2018-04-20 11:12:13,Spaces on our foraging courses this year are extremely fast If youd like info check out the blog below 
2018-04-20 11:12:13,Can you believe Darren Criss is gonna be 10 mins from my workplace today and I wont be seeing him 
2018-04-20 11:12:14,@karlhandforth Ive been waiting for this day for years bring back the old Arsenal 
2018-04-20 11:12:14,The Limitless Love of Pets 
2018-04-20 11:12:14,Now we are at @BBCRadio2 for Carls appearance on STEVE WRIGHT IN THE AFTERNOON - tune in on Monday afternoon to he 
2018-04-20 11:12:14,3days left of the journey thats #Handlooms Where did 9 weeks go  its like being draped in literary silk 
2018-04-20 11:12:15,The sun is shining on #TeachanLeinn today  call in and let us shine some light on the #FurtherEducation and 
2018-04-20 11:12:15,@s_bacallao This isnt even vaguely near what my tweet was saying
2018-04-20 11:12:15,Welcome to the News Quiz where we bring down the establishment by telling shut jokes about the politicians we went to Oxford with
2018-04-20 11:12:15,Why do snapchat keep feeling the need to update Fuckin sick of it
2018-04-20 11:12:15,Hey @AndrewBowieMP you are my MP This clowning colleague of yours has caused real heartache with his insensitive a 
2018-04-20 11:12:15,@reganmanchester @itvemmerdale @emmerdale Well done Simone well done 
2018-04-20 11:12:16,Only one winner surely @George_Blackers 
2018-04-20 11:12:15,@alookinabook My book on the Human condition What am I And Why do I suffer Can be seen at 
2018-04-20 11:12:15,#topdressing  over to the customer to nurture those seeds 
2018-04-20 11:12:16,@Emina_ibrahim Typical of you momentum  Try &amp tweet for a pile on
2018-04-20 11:12:16,As it will be a lovely #sunnyday tomorrow &amp every Saturday join us at #wardendpark to Learn to ride a bike at 10 
2018-04-20 11:12:17,@deeg159 Got to have a foreigner
2018-04-20 11:12:17,@dublinbusnews Thanks I got that #DB4OD at stop 6004 at 1130am For a second I thought I was on a #DB140 because o 
2018-04-20 11:12:18,I hope Louis knows just how excited we are for his album and just how much we support and appreciate everything about him
2018-04-20 11:12:19,Possibly a skid mark 
2018-04-20 11:12:18,New Sonar Drain Surveys Wilkinson Environmental now delivers advanced sonar surveys in surcharged and semi-surcharg 
2018-04-20 11:12:19,23 for @NickBrowne4 Bowled Mennie 38-2 is about par for the rest of Div1 Tough batting even when you beat the i 
2018-04-20 11:12:19,@NakulMPande @guerillacricket I admire your faith in the quality of record keeping from that era Or any other fran 
2018-04-20 11:12:19,How lucky are Hannah Neasa Emily and Jessica They got to meet our President-Micheal D Higgins at the ras recen 
2018-04-20 11:12:19,@luciedoo @marksy1955 @Mabellax @gingerwhinger66 @LFCNev @NealMartin10 @SarahLizzie78 @sarahlou2275 @rusteehalo Youre welcome lovely x
2018-04-20 11:12:19,Piers Morgan and DT about to throw the biggest party the world has ever seen
2018-04-20 11:12:20,Has Wenger retired as a manager or just stepped down from Arsenal FC Interested to see if he goes elsewhere
2018-04-20 11:12:19,Dreach bloigh bheag alumni Ghidhlig oileanaich luchd-teagaisg agus luchd-rannsachaidh air #GaelicTwitterDay  
2018-04-20 11:12:20,@starling_trudi @olipoole @BSmytherman The cost of the service so a proportion of running costs etc Very little I 
2018-04-20 11:12:21,@AndreaHoran Just dont go into things
2018-04-20 11:12:21,So nice to have some  before I go away to Greece 
2018-04-20 11:12:21,@GeoffLloyd  Happy Birthday
2018-04-20 11:12:23,@kt1465 @kathybotteas @DrEKirkeOstm @Cbargainhunters @emmafarrowart @myboots111 @Spannaarr_95 @IsabelleBoulet4 
2018-04-20 11:12:23,@CFCGARYG @ChelseaAltLeft @GorjusGeorge5 @MikeJstalker Always one Gal 
2018-04-20 11:12:23,@_laurenrebecca Ummmwhat happened
2018-04-20 11:12:23,@Nurvexe I tried but its too damn hot to have any fun 
2018-04-20 11:12:23,Another glorious day to get a practice round in @GathurstGolf #singlefiguregoals 
2018-04-20 11:12:24,E take e easy sir 
2018-04-20 11:12:24,How the hell as @PaddyMcGuinness managed to not only pull but marry thy sweetheart ffs #MoneyTalks
2018-04-20 11:12:24,@Cardiffbus thank you so much for fixing the WiFi what a joy to connect on the bus this morning x
2018-04-20 11:12:24,The babys at the childminders and I just made myself a fish finger sandwich #livingmybestlife
2018-04-20 11:12:24,Rafa to Arsenal rumours started alreadyfuck sake man 
2018-04-20 11:12:24,@sarfeld @davi326 SMS is still cheaper in some causes and more instant Because you not trying to get data or wi fif
2018-04-20 11:12:24,Done  And now I have a big smiley face too like you all do in those fantastic pics at the awards  
2018-04-20 11:12:24,@JDonOfficial @girl_guide @newtheatreroyal Certainly was do come back soon xxx
