date,text
2018-04-23 17:32:50,@natasharosexo Absolutely not This is war
2018-04-23 17:32:50,#HaveringDeservesBetter than Cllrs who are only interested in their  allowances Our communities need representa httpstcoHXG672vDhz
2018-04-23 17:32:51,@bailey2_bailey @MattDoogue @wextweets @Fotospeed @visitlondon Thank you
2018-04-23 17:32:50,MSC containership #MSCAlgeciras seen passing cruise ship #MSCMagnifica on the first day of a busy week for #MSC shi httpstcoDcUYeWA7rs
2018-04-23 17:32:51,This is the coolest thing Ive seen in ages httpstcopseuEAllkr
2018-04-23 17:32:52,Rote-learning They keep using that word I do not think it means what they think it means Cant add the gif httpstcoCfSQy6HEKa
2018-04-23 17:32:52,@_MandieLand_ Not fat just more to love 
2018-04-23 17:32:52,Great httpstco2kMWA3UhV4
2018-04-23 17:32:52,Tomorrow night we have a fantastic evening of poetry to look forward to Hosted by the exceptionally talented httpstco4DmpR4pK5x
2018-04-23 17:32:52,@KensingtonRoyal in honour of St George and Prince George we purchased our Retreat this day 4 years ago Another bl httpstcoJLWACi5E3d
2018-04-23 17:32:52,@JimDicksLambeth @LambethLabour @jack_holborn @paulineukno1 Steve discusses with Hazel &amp Maude why in Herne Hill it httpstco7EglsA8IEJ
2018-04-23 17:32:52,I am probably going to be blasted but why do we need a #StephenLawrence day   Are we going to have a day for every httpstcomTdV2qHdmP
2018-04-23 17:32:53,@frannyperado @Tanners_92 You on the day trip becky
2018-04-23 17:32:53,@LeGrove Ive got a feeling it wont be a top name but someone whos gona work alongside Mislintat and Sanllehi Ei httpstcoyV5sNf6Zqi
2018-04-23 17:32:53,Since #royalbaby will objectively cost us a fortune for no discernable return but be unduly adored by nationalists httpstcohWavsGTa9d
2018-04-23 17:32:53,@Slimshady1961 @TheClumpany Where was the passion last week He was honking
2018-04-23 17:32:53,@goodoldpj @tj_arnold Lets extend the merseybank estate so it backs onto those million pound houses
2018-04-23 17:32:54,This is shocking   i hope some one is helping this poor gentleman   we should all stand with him against this disgu httpstcotM69FuZYZJ
2018-04-23 17:32:54,@DailyMirror Bet they would if it was a royal
2018-04-23 17:32:54,@ScotNational ye think
2018-04-23 17:32:55,Watching birds but cant be arsed to move @ Kirk Ella httpstcognYvKYQQ1s
2018-04-23 17:32:56,Does anyone know any 247 car parks open nearish to Queens Club for the championships in June please
2018-04-23 17:32:57,Anyone selling tickets for Burton this Saturday #bwfc
2018-04-23 17:32:57,@DavidWeekender My favourite film at mo
2018-04-23 17:32:57,@jeremycorbyn Does this include the workers in the hospitality trade Or just the 9-5 workers
2018-04-23 17:32:57,They recon Phelans next victim in #Corrie is going to be Michelle but thats just Heresay httpstcoRCYEHmZDwK
2018-04-23 17:32:58,Omfg a dispicable letter David with you and all concerned httpstcoAMDl6UcmKG
2018-04-23 17:32:58,The royals are basically on benefits
2018-04-23 17:32:58,Kennedy faded badly conor rowan 5050 for me kal right to have a go back at the boo boys #expressfm
2018-04-23 17:32:57,@Examiner @Hudsonweather @JonMitchellITV @Huddersfield4U What a difference a week makes  last week only a few now httpstcoGPHw3gYQE2
2018-04-23 17:32:58,@BlairStClair If your Mum wouldnt have given you Blair St Clair as a drag name what would you be called
2018-04-23 17:32:58,If you know me and are a #Grime #Mc and are free tonight and want to roll my @modefmonline show httpstcoKAWZSDJkdJ
2018-04-23 17:32:59,@jimhadadream @aylesburyowl Havent we had a labour government before And did they make it a national holiday errrrrr nooooooo #clueless
2018-04-23 17:33:00,@SeanMurray243 No one said that  But its still my body that needs to be used to provide life and i dont want to do httpstco3bUgjE64YY
2018-04-23 17:33:00,@MarkOneinFour Such courage 2 share this here thank you @BreneBrown speaks beautifully about shame vulnerability httpstcoUQET1IM40R
2018-04-23 17:33:01,@StevenTravers99 happy bday hope youve had a good day so farx
2018-04-23 17:33:01,@looknorthBBC Waltham doesnt own the ground theres absolutely no chance of it being used as a traveller site I httpstco4yL5UFjP6Y
2018-04-23 17:33:01,@ianmaxiptfc aw the best Maxy #jagsman
2018-04-23 17:33:02,@JohnLegere Couldnt hurt
2018-04-23 17:33:02,Taking my turn to sit with a breakdown not the way I thought the first day back would go  these things happen t httpstcooemnb5iZEJ
2018-04-23 17:33:03,@writalist silly billy 
2018-04-23 17:33:03,@BenjaminWareing Thanks appreciate it 
2018-04-23 17:33:01,Max Save me so many times over #dogsofinstagram #dog #dogs #doggy #dogo #mansbestfriend httpstconPjpP4kWh5
2018-04-23 17:33:04,Fantastic to hear @TracySh01012017 httpstcoX3qYkrpWqP
2018-04-23 17:33:04,Glad to speak tomorrow at @RICSnews World Built Environment Forum #WBEF on future and #smartcities and #Proptech r httpstcoDiEXOkFSqU
2018-04-23 17:33:05,Sorry Salvador just not my thing  httpstcouskhskLxJY
2018-04-23 17:33:05,Owen Jones exercising all the integrity and sound judgement that weve come to expect from him httpstco0XSNEjsmpI
2018-04-23 17:33:05,@LeftPeggers @bj2029 Had my 21st upstairs in Images November 86 it would have been
2018-04-23 17:33:05,@jeddytee At home
2018-04-23 17:33:06,Imagine getting tickets for the Rolling Stones and finding out you had the date where James bay was supporting 
2018-04-23 17:33:06,@GoogleExpertUK @OxfordRdCorner But as not listed &amp #Manchester leaders do not list local buildings of special hist httpstco6FjszOjg1g
2018-04-23 17:33:06,@Spencer_morg @ItsTJBM what do you mean whats the matter
2018-04-23 17:33:06,OMGstop it with these selfies @ Liverpool httpstcoqt6XmAt0Tj
2018-04-23 17:33:07,@City_Watch I still have the old Rothmans City shirt somewhere its very similar 
2018-04-23 17:33:06,108 watts 95% Battery = 19kWh httpstcouUP8Aim9T5
2018-04-23 17:33:07,@_aeloy_ @Myzrable_G @mattbloomer @TheRythias @TheMoistNoodle @Myre_Test @TheFew_Channel @dolkensp Wtf is football httpstcoPm4ORRHcok
2018-04-23 17:33:07,@RobNicholasco @martint235 @Bertran08023492 @Firmtec @JuliaHB1 Your figure of 30 billion includes tax on fuel VED httpstcosC120zDFF7
2018-04-23 17:33:07,@thescript Would you write sing with @kodaline @BandPictureThis @edsheeran @gavinjames  #FreedomChildAsia #TheScriptFamily
2018-04-23 17:33:06,War is not the solution to the problems we face in the 21st century #NeverAgain httpstcoLQuvuy4pQ3
2018-04-23 17:33:07,@DavidFTyas @smrac1 Thanks
2018-04-23 17:33:07,@peasbloss Hello I went for my paddle today at my hydrotherapy 
2018-04-23 17:33:07,@LBC @BZephaniah Go on @BZephaniah tell it as it is #Windrush is a national disgrace shocking and an outrage So httpstco055mtht34T
2018-04-23 17:33:08,@ChampionBandT Overall bro culture sounds like those UKCBF muppets who film themselves shotgunning DIPAs
2018-04-23 17:33:08,@David_Cameron Be quiet Mr Got Britain Into A Big Mess
2018-04-23 17:33:08,@thePEdiary Yeah our moderation was very interesting Basically said that PE teachers previously had marked everyon httpstcoYiujBercz2
2018-04-23 17:33:08,Started my first day at my new work today and I already hate the train commute to town
2018-04-23 17:33:09,@moonlightdriive lets hope so I was so disturbed by it I had to check out the actual English pronounciation httpstco44G5MSI8Pq 
2018-04-23 17:33:09,@rayray6666 I think I may have overdone the gym 
2018-04-23 17:33:08, 5 stars for TONIGHT AT 830 A gloriously sublime and unique  theatrical experience flawless acting from an httpstcoa7XhyTnaDu
2018-04-23 17:33:09,Important Thread httpstcodQ6a5SBP0V
2018-04-23 17:33:09,We are currently dealing with a Road Traffic Collision on Ystrad Road in Ystrad and the road is blocked in both dir httpstcom1mlR1Ze59
2018-04-23 17:33:09,Your first mouthful of food when your stoned  httpstcoCOBEABBMau
2018-04-23 17:33:09,@LixxieB rest now sweet angel  youve had a big day httpstcoazhSCrsshH
2018-04-23 17:33:10,Madness girls are still dragging other girls down sad to see
2018-04-23 17:33:09,Georges Day httpstcoWSf4h4ANrN
2018-04-23 17:33:10,@LadyBelinda Ah bless you
2018-04-23 17:33:10,For what its worth Im going for Charles Philip or Michael in the royal baby name Whilst Im not a massive roya httpstco96cxyVz4NK
2018-04-23 17:33:10,@james_reid91 Disgrace lad they need rounding up and shooting
2018-04-23 17:33:11,@Burton_Menswear Hi where would I find the procut code
2018-04-23 17:33:11,@DarkandtheLight @UN_Women @EmmaWatson @OurSharedShelf Like the robot in the Belle dress connotations abound 
2018-04-23 17:33:11,@DirtyFootbaIIer @AlfieWarwick best warm up ever
2018-04-23 17:33:11,There are few things as relaxing as sitting on a train looking at green hills and sheep
2018-04-23 17:33:12,Just saying proper magnet httpstconvwlJJWPmN
2018-04-23 17:33:12,@EatMyHalo Im sorry Im going to say it - theyre ignorant cunts There Ive said it
2018-04-23 17:33:12,Im actually crying laughing at @Caspar_Lee new video everyone Go like Subscribe and turn his notifications on httpstcoiDhiGW1faL
2018-04-23 17:33:13,CHAMPIONS Year 8A Football team win the Salford Schools Cup following a 3-2 penalty shoot out win over httpstcovfGpu66GR1
2018-04-23 17:33:13,fostersuk going down quicker than I can take a picture Reviews tonight are of httpstcoWX5lfOsbDT
2018-04-23 17:33:14,REALLY wow  httpstcokP484hdna3
2018-04-23 17:33:14,Kaan Hayes header had earlier given the boys a 1st half lead before SAB equalised in the 2nd half A missed penal httpstcoR9vv7xFb97
2018-04-23 17:33:15,Petition Give the electorate a referendum on the abolition of the House of Lords httpstcoDlgPS3sQzY
2018-04-23 17:33:15,canny wait to get @touchitkim absolutely gazibod for her 21st If anyone can show u the way of vodka its me
2018-04-23 17:33:15,Why dont you like us httpstcon2pMC6yqei
2018-04-23 17:33:16,@ukhomeoffice @AmberRuddHR British people to get British citizenship I love the way this government cares so much
2018-04-23 17:33:16,@Vic_mackey83 @Liddellpool Lol retard Im commenting on a political thread geese the remoaners are not to bright today
2018-04-23 17:33:16,@EmdudsCo Mine was whats Emma asking you lol
2018-04-23 17:33:16,@dj85ftm Speechless 
