date,text
2018-02-02 09:57:45,.@StephenEULangs opens todays workshop, Unlocking the Black Box of Translators Eyes and Mind https://t.co/faALTAmLvO
2018-02-02 09:57:46,Breakfast (at @Pret A Manger in Soho, Greater London) https://t.co/XNcQE0mBaf
2018-02-02 09:57:46,See me and some awesome Dan Gold goodies at Oxford Street London  https://t.co/SHvq1v5TRe
2018-02-02 09:57:47,We are all members of a community of love, reconciliation, justice and peace; and we all have a role to play in it.
2018-02-02 09:57:51,Set your life on fire, and seek those who fan your flames.
2018-02-02 09:57:54,SAM SMITH UK Tour 20Mar-10Apr  Ticketmaster {https://t.co/Zeos4IlKr6}  Get Me In {https://t.co/vsxdT6tycy} https://t.co/Hfqc1UYCDc
2018-02-02 09:57:56,What a fantastic opening quiz night... a big thank you to the 72 people that attended  https://t.co/0X3sJnTe5r
2018-02-02 09:57:59,: The Complete Guide - by @tsimonite @WIRED https://t.co/odhforQpnZ h/t @cognition_x 
2018-02-02 09:58:02,@Will_Unwin Where?
2018-02-02 09:58:02,these wonderfully talented artists @KadiaBand @kaelarowanband @kathryn_sean @KRSpencerMusic @kerrfagan https://t.co/F0kG26jmSw
2018-02-02 09:58:05,NEWCHLOE FERRY ALEXA SHADESBlack &amp; Red colours online right nowhttps://t.co/PSQXnGEkMl @Chloe_GShore https://t.co/CA4x8FxVSw
2018-02-02 09:58:06,@john_kop1892 Ok....but you havent went above us this whole season not even for a few hours.......so its all funny https://t.co/H2KB6ReHqI
2018-02-02 09:58:08,Trailblazers are feeling orange-tastic on today for @MDUK_News!! Tag us in your orange https://t.co/ltC829dcBi
2018-02-02 09:58:08,This post might need an action from you.   In the graves, lives on the past through the dead. https://t.co/NgfXDmofof
2018-02-02 09:58:09,I only ever hear 'Shiver' by Natalie Imbruglia in supermarkets... but I hear it in them A LOT. Gotta say though, I bloody love the song...
2018-02-02 09:58:09,CircleTime is awesome! https://t.co/oBuiZ42QMU
2018-02-02 09:58:09,Something for the weekend  A lush without the (guilty) calories: confit tomatoes &amp; https://t.co/FZDczHIwmh
2018-02-02 09:58:09,me finding different ways to distract myself on the same device Im supposed to be doing my work on https://t.co/cQnvhp2B9Z
2018-02-02 09:58:12,@The_LCDC @Sammyscarf only takes 5 minuets 2 do @ASA_UK  @VelubaTaxi FYI https://t.co/cWTigtSMI4
2018-02-02 09:58:14,@BBCRadio2 @RealKenBruce Ken the Caterpillar? Thought a Koala or Kool Kat lookin for a kitty might be more Kens s https://t.co/GBKVRlKvfo
2018-02-02 09:58:18,Sleepy selfie after the early train to London this morning for the . Looking forward to a fun d https://t.co/wFBUpVIloc
2018-02-02 09:58:20,man gets new wheelchair after basketball club ! Keen player, Joe Hump https://t.co/Y6p5r7Qze5
2018-02-02 09:58:20,skin https://t.co/8yo97jwPJQ
2018-02-02 09:58:24,I had an MRI scan this morning. The scanner would not start and they tried rebooting it twice. No luck. Had to use https://t.co/YbYIP3cEFJ
2018-02-02 09:58:24,@h_____dot Stop making me jealous 
2018-02-02 09:58:26,First team travel to Sutherland Memorial Park tomorrow to face @FCburpham in the CWT Group D in a 2pm KO GU4 7JU
2018-02-02 09:58:26,@john_kop1892 You been saying youre 3 points off for how long lmao
2018-02-02 09:58:28,@RepAdamSchiff The only highest number this President has is for the highest number of falsehoods ever uttered by any President in history!
2018-02-02 09:58:28,Neverland (1). Acrylic paint and pencil on paper. 01.02.18. Mia C.  https://t.co/bkRcFyl7AW
2018-02-02 09:58:29,Another great episode. I hate myself for feeling a little hope but I credit these guys with this peculiar feeling. https://t.co/Qdc6DSXdvx
2018-02-02 09:58:30,@glyn_tutt @BBCPolitics For context, my (Scottish) mum has lived in Germany since 1973 and is reluctantly consideri https://t.co/evHLG2UPol
2018-02-02 09:58:30,We're more than a little bit excited about our new live/work listing on Choumert Mews: https://t.co/gb1EUyRwv4 https://t.co/TbK59ToxDe
2018-02-02 09:58:32,@BBCBusiness @DaveLeeBBC @BBCBusiness interviews @IvanMazour on his opinion of which company @Apple @Google or https://t.co/i53pOjvjHK
2018-02-02 09:58:33,@Milan_sunshine Amore you are a bit flat 
2018-02-02 09:58:36,Feeling excited already!! https://t.co/vAJunlEuec
2018-02-02 09:58:36,Hackney Wick's @whitepostbar is showing The Six Nations.   Wolfpack Pilsner is joining Wolfpack Lager on tap from n https://t.co/6pzBCvBtCE
2018-02-02 09:58:37,these wonderfully talented artists @LadyMaisery @long_lankin @LoreleyDuo @LucasandKing @LucyKittMusic https://t.co/RhuiFFm378
2018-02-02 09:58:38,@hwcapricorn @MichaelKilbey @Weareseaqueens Good morning dear Heide, thank you, nay you enjoy your day and weekend too! 
2018-02-02 09:58:38,10x1 minute max efforts on Watt bike. Am now only 2% H2O
2018-02-02 09:58:39,Don't give up when you still have something to give because nothing is really over until the moment you stop trying.
2018-02-02 09:58:39,Announcing the seminars taking place on Sunday 25th February at https://t.co/V3hlP6Vxy5
2018-02-02 09:58:40,We got 2 more days to go! We can do this with your help! @Red_Belly_Black @vickikbaron @OscarScottWhite https://t.co/7GUiqJJxil
2018-02-02 09:58:41,Labours leaders have been entirely silent on the content of the leak. This was the whole point of it. Th https://t.co/T2xAdfobyG
2018-02-02 09:58:42,Labours MPs and Labour supporters should be bombarding the Party for a change of policy. The report shows that the https://t.co/q8SAdjANOj
2018-02-02 09:58:42,As part of our weekly PSHE programme, our local police community officers have been taking sessions with our senior https://t.co/kyGCw6ys3l
2018-02-02 09:58:46,@timspector Mars bars!
2018-02-02 09:58:47,@AliceAvizandum @AhmedinhoJr @feraljokes My pronouns are Bing/Bing
2018-02-02 09:58:48,@GRRRRRaham_King Like the weird alliance between The far Left and Hezbollah/Hamas fellas
2018-02-02 09:58:49,What will I bench today? (at @Fitness4lessUk in Watford, Hertfordshire) https://t.co/AZSk5brWK2
